mode,threads,preset,cpu1_us,io_us,cpu2_us,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
ws,16,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.020000,3691.350000,3689.250000,25.840000,26.013333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t16_p5_stress_mix
ws,16,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.020000,789.020000,788.926667,80.510000,80.526667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/ws_t16_p6_ultra_io_bound
elastic,16,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.010000,8.010000,1868.890000,1861.476667,8.390000,8.406667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t16_p1_light_cpu_heavy_io
elastic,16,p2_balanced,200,5000,200,32,10s,4,3,3,10.000000,10.003333,5486.820000,5463.706667,5.620000,5.630000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t16_p2_balanced
elastic,16,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.066667,10847.760000,10773.450000,2.790000,2.796667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t16_p3_cpu_heavy
elastic,16,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.020000,3092.110000,3089.023333,20.490000,20.510000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t16_p4_io_heavy_high_conc
elastic,16,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.010000,12.013333,7402.080000,7394.740000,12.750000,12.796667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t16_p5_stress_mix
elastic,16,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.020000,1578.100000,1577.856667,40.220000,40.233333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/elastic_t16_p6_ultra_io_bound
advws,16,p1_light_cpu_heavy_io,100,8000,100,16,8s,4,3,3,8.010000,8.010000,1859.920000,1857.906667,8.410000,8.410000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t16_p1_light_cpu_heavy_io
advws,16,p2_balanced,200,5000,200,32,10s,4,3,3,10.010000,10.010000,5552.360000,5485.470000,5.590000,5.620000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t16_p2_balanced
advws,16,p3_cpu_heavy,1200,200,1200,32,10s,4,3,3,10.000000,10.000000,10824.440000,10803.986667,2.790000,2.796667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t16_p3_cpu_heavy
advws,16,p4_io_heavy_high_conc,100,10000,100,64,12s,4,3,3,12.020000,12.026667,3090.250000,3088.803333,20.530000,20.556667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t16_p4_io_heavy_high_conc
advws,16,p5_stress_mix,600,3000,600,96,12s,4,3,3,12.020000,12.020000,7391.250000,7388.120000,13.310000,13.403333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t16_p5_stress_mix
advws,16,p6_ultra_io_bound,50,20000,50,64,12s,4,3,3,12.020000,12.020000,1578.170000,1578.063333,40.240000,40.256667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260307_172646/advws_t16_p6_ultra_io_bound
