mode,threads,preset,cpu1_mm,io_us,cpu2_mm,mm_n,mm_bs,connections,duration,wrk_threads,reps,successful_runs,best_runtime_s,avg_runtime_s,best_requests_sec,avg_requests_sec,best_latency_avg,avg_latency_avg,run_logs_dir
advws,2,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.033333,79.630000,78.853333,1.140000,1.153333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t2_p5_stress_mix
advws,2,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.030000,91.060000,90.773333,681.610000,683.420000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/advws_t2_p6_ultra_io_bound
classic,4,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.000000,8.006667,125.730000,124.846667,126.090000,126.950000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t4_p1_light_cpu_heavy_io
classic,4,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.013333,76.720000,76.206667,408.590000,411.183333,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t4_p2_balanced
classic,4,p3_cpu_heavy,3,200,3,256,32,32,10s,4,3,3,10.010000,10.013333,56.630000,56.196667,549.330000,553.060000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t4_p3_cpu_heavy
classic,4,p4_io_heavy_high_conc,1,10000,1,256,32,64,12s,4,3,3,12.020000,12.026667,118.490000,118.333333,527.190000,527.430000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t4_p4_io_heavy_high_conc
classic,4,p5_stress_mix,2,3000,2,256,32,96,12s,4,3,3,12.030000,12.040000,79.850000,79.193333,1.140000,1.146667,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t4_p5_stress_mix
classic,4,p6_ultra_io_bound,1,20000,1,256,32,64,12s,4,3,3,12.030000,12.033333,91.240000,91.066667,680.080000,681.110000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/classic_t4_p6_ultra_io_bound
coro,4,p1_light_cpu_heavy_io,1,8000,1,256,32,16,8s,4,3,3,8.010000,8.010000,167.730000,166.383333,94.860000,95.630000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t4_p1_light_cpu_heavy_io
coro,4,p2_balanced,2,5000,2,256,32,32,10s,4,3,3,10.010000,10.013333,83.110000,82.996667,374.320000,376.950000,/users/Superjun/Concurrency_in_Cpp/results/mixed_wrk_perf_20260313_115923/coro_t4_p2_balanced
